样本编号,样本类别,OTSU法含油百分比
1,深灰色泥岩,0.022649007161458335
2,黑色煤,0.0021847330729166665
3,深灰色泥岩,0.0345068359375
4,灰色细砂岩,0.26602978515625
5,浅灰色细砂岩,0.08622444661458334
6,浅灰色细砂岩,0.05606290690104167
8,深灰色泥岩,0.011584879557291667
9,浅灰色细砂岩,0.017452799479166666
10,深灰色泥岩,0.0007074381510416667
12,深灰色粉砂质泥岩,0.03273291015625
13,深灰色泥岩,0.0024746907552083332
14,灰黑色泥岩,0.27090779622395833
15,深灰色泥岩,0.00034749348958333333
16,浅灰色细砂岩,0.024410319010416667
17,灰色泥质粉砂岩,0.00034130859375
18,灰黑色泥岩,0.16222493489583334
19,浅灰色细砂岩,0.13338232421875
20,深灰色泥岩,0.0003382161458333333
21,灰黑色泥岩,0.000550537109375
22,灰色泥质粉砂岩,0.014453531901041667
23,灰色细砂岩,0.26965470377604167
25,深灰色泥岩,0.0032987467447916667
26,浅灰色细砂岩,0.050562174479166666
27,浅灰色细砂岩,0.0420478515625
28,灰色细砂岩,0.28073787434895836
29,深灰色泥岩,0.022284586588541665
30,灰色泥质粉砂岩,0.09942496744791667
31,浅灰色细砂岩,0.012993815104166667
33,深灰色粉砂质泥岩,0.03178499348958334
34,灰色细砂岩,0.32824568684895833
35,灰色细砂岩,0.2969603678385417
36,深灰色泥岩,0.020292236328125
37,灰色泥质粉砂岩,0.13217561848958334
38,深灰色泥岩,0.025164469401041667
39,灰色泥质粉砂岩,0.00036800130208333335
40,灰黑色泥岩,0.027464436848958333
41,浅灰色细砂岩,0.025654622395833333
42,灰黑色泥岩,0.015642252604166667
43,深灰色泥岩,0.0003682454427083333
44,灰色泥质粉砂岩,0.03394913736979167
45,深灰色泥岩,0.05649007161458333
46,浅灰色细砂岩,0.044141438802083335
47,深灰色粉砂质泥岩,0.0004278157552083333
48,灰色泥质粉砂岩,0.30796500651041664
49,深灰色粉砂质泥岩,0.013260904947916667
50,浅灰色细砂岩,0.03449837239583333
51,灰黑色泥岩,0.21325569661458332
52,深灰色泥岩,0.024692220052083335
53,灰黑色泥岩,0.07844124348958334
54,深灰色泥岩,0.00032576497395833334
55,灰色泥质粉砂岩,0.094708251953125
56,深灰色粉砂质泥岩,0.0004025065104166667
57,深灰色粉砂质泥岩,0.00108251953125
58,浅灰色细砂岩,0.049315673828125
60,浅灰色细砂岩,0.3027451171875
61,深灰色粉砂质泥岩,0.025756591796875
62,深灰色粉砂质泥岩,0.039300048828125
63,深灰色泥岩,0.0003466796875
64,灰色泥质粉砂岩,0.09251627604166666
65,深灰色泥岩,0.0009142252604166667
66,黑色煤,0.00660400390625
67,深灰色泥岩,0.03899178059895833
68,深灰色粉砂质泥岩,0.03366170247395833
69,浅灰色细砂岩,0.28234724934895833
71,浅灰色细砂岩,0.0373212890625
72,浅灰色细砂岩,0.093115234375
73,深灰色粉砂质泥岩,0.030824137369791667
74,灰色泥质粉砂岩,0.192609375
75,浅灰色细砂岩,0.07851481119791667
76,灰黑色泥岩,0.14900081380208333
77,浅灰色细砂岩,0.033512858072916665
78,深灰色粉砂质泥岩,0.09757210286458333
79,黑色煤,0.00034187825520833336
80,浅灰色细砂岩,0.0003788248697916667
81,深灰色粉砂质泥岩,0.00039021809895833335
82,浅灰色细砂岩,0.000334228515625
83,黑色煤,0.04031453450520833
84,深灰色粉砂质泥岩,0.06164957682291667
85,黑色煤,0.0007351888020833334
86,浅灰色细砂岩,0.06647810872395833
87,深灰色粉砂质泥岩,0.04693253580729167
88,灰色泥质粉砂岩,0.04004866536458333
89,深灰色泥岩,0.016112955729166666
90,深灰色粉砂质泥岩,0.0182197265625
91,深灰色粉砂质泥岩,0.17315177408854165
92,灰色泥质粉砂岩,0.00038289388020833334
93,灰黑色泥岩,0.019916259765625
94,灰色泥质粉砂岩,0.025177001953125
