样本编号,含油面积百分含量
1,0.5789388020833334%
2,0.043229166666666666%
3,0.01857096354166667%
4,0.971044921875%
5,0.0216552734375%
6,0.023860677083333334%
8,0.01884765625%
9,0.036572265625%
10,0.024617513020833332%
12,0.07247721354166667%
13,0.021663411458333334%
14,0.19221191406250002%
15,0.01919759114583333%
16,0.038964843750000006%
17,0.0181640625%
18,0.30732421875%
19,0.021370442708333333%
20,0.017830403645833333%
21,0.03372395833333333%
22,0.0179443359375%
23,0.07933756510416667%
25,0.0777587890625%
26,0.03356119791666667%
27,0.05530598958333333%
28,0.6578938802083333%
29,0.023592122395833335%
30,0.023787434895833334%
31,0.039306640625%
33,1.5113525390625%
34,0.3113118489583333%
35,0.6126546223958333%
36,0.01742350260416667%
37,0.42899576822916663%
38,0.024690755208333335%
39,0.01754557291666667%
40,0.020686848958333334%
41,0.021940104166666665%
42,0.019816080729166668%
43,0.020255533854166667%
44,0.01845703125%
45,0.03673502604166667%
46,0.016894531249999997%
47,0.03304036458333333%
48,0.09637044270833334%
49,0.061393229166666674%
50,0.032421875%
51,0.44407552083333335%
52,0.3482259114583333%
53,0.7205078125%
54,0.015559895833333334%
55,0.029549153645833333%
56,0.029443359375%
57,0.03689778645833334%
58,0.018416341145833334%
60,0.10060221354166667%
61,0.0216552734375%
62,0.08621419270833333%
63,0.0194091796875%
64,2.0510579427083333%
65,0.011653645833333334%
66,0.10652669270833333%
67,0.022054036458333332%
68,1.3671875%
69,0.13551432291666665%
71,0.15498046875%
72,0.03841959635416667%
73,0.021826171875%
74,0.2034261067708333%
75,0.056624348958333334%
76,0.279541015625%
77,0.0208984375%
78,0.1315673828125%
79,0.020377604166666667%
80,0.023006184895833334%
81,0.024674479166666666%
82,0.017081705729166667%
83,0.03458658854166667%
84,0.020882161458333333%
85,0.03504231770833333%
86,0.0184326171875%
87,0.07056477864583334%
88,0.020670572916666668%
89,0.015616861979166667%
90,0.0464599609375%
91,0.08211263020833333%
92,0.022493489583333335%
93,0.039355468750000004%
94,0.01809895833333333%
95,0.7727132161458333%
96,0.8444498697916667%
97,0.05791829427083333%
98,0.02110188802083333%
99,0.0189208984375%
100,0.023413085937499998%
101,0.08448079427083333%
102,0.054915364583333334%
103,0.0192626953125%
104,0.022778320312500003%
105,0.022322591145833334%
106,0.2871175130208333%
107,0.02127278645833333%
108,0.018229166666666668%
109,0.020768229166666666%
111,0.02294921875%
112,0.023177083333333334%
